,GOOD MORNING (0),GOOD AFTERNOON (1),GOOD EVENING (2),HELLO (3),HOW ARE YOU (4),IM FINE (5),NICE TO MEET YOU (6),THANK YOU (7),YOURE WELCOME (8),SEE YOU TOMORROW (9),UNDERSTAND (10),DON’T UNDERSTAND (11),KNOW (12),DON’T KNOW (13),NO (14),YES (15),WRONG (16),CORRECT (17),SLOW (18),FAST (19),ONE (20),TWO (21),THREE (22),FOUR (23),FIVE (24),SIX (25),SEVEN (26),EIGHT (27),NINE (28),TEN (29),JANUARY (30),FEBRUARY (31),MARCH (32),APRIL (33),MAY (34),JUNE (35),JULY (36),AUGUST (37),SEPTEMBER (38),OCTOBER (39),NOVEMBER (40),DECEMBER (41),MONDAY (42),TUESDAY (43),WEDNESDAY (44),THURSDAY (45),FRIDAY (46),SATURDAY (47),SUNDAY (48),TODAY (49),TOMORROW (50),YESTERDAY (51),FATHER (52),MOTHER (53),SON (54),DAUGHTER (55),GRANDFATHER (56),GRANDMOTHER (57),UNCLE (58),AUNTIE (59),COUSIN (60),PARENTS (61),BOY (62),GIRL (63),MAN (64),WOMAN (65),DEAF (66),HARD OF HEARING (67),WEELCHAIR PERSON (68),BLIND (69),DEAF BLIND (70),MARRIED (71),BLUE (72),GREEN (73),RED (74),BROWN (75),BLACK (76),WHITE (77),YELLOW (78),ORANGE (79),GRAY (80),PINK (81),VIOLET (82),LIGHT (83),DARK (84),BREAD (85),EGG (86),FISH (87),MEAT (88),CHICKEN (89),SPAGHETTI (90),RICE (91),LONGANISA (92),SHRIMP (93),CRAB (94),HOT (95),COLD (96),JUICE (97),MILK (98),COFFEE (99),TEA (100),BEER (101),WINE (102),SUGAR (103),NO SUGAR (104)
GRANDFATHER (56),0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,0,1,1,0,0,0,0,58,0,0,1,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,1,1,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0
GRANDMOTHER (57),0,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,1,0,1,0,1,2,0,0,3,1,2,1,1,0,1,0,0,2,0,1,0,1,0,1,1,1,0,0,0,0,1,0,44,0,0,0,0,0,1,0,0,4,0,0,0,1,1,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0
UNCLE (58),0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,1,1,0,0,0,1,0,1,0,0,2,2,1,1,2,0,0,0,1,0,0,1,1,0,1,2,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,52,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0
AUNTIE (59),1,1,1,2,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,1,1,2,3,0,1
COUSIN (60),0,1,0,0,1,0,2,0,0,0,0,2,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,59,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0
PARENTS (61),0,0,1,0,2,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,2,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,4,2,0,1,0,0,1,1,0,42,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,2,1
BOY (62),0,0,0,2,0,2,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,60,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
GIRL (63),1,0,0,0,0,0,1,0,1,0,0,0,1,0,5,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,2,0,0,0,2,1,0,0,1,0,0,0,62,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0
MAN (64),3,0,1,0,0,0,0,0,0,0,1,1,2,0,1,1,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,2,2,1,1,1,0,0,1,0,0,47,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0
WOMAN (65),0,1,0,0,1,0,0,2,1,1,1,2,0,0,2,2,0,1,0,0,0,0,0,0,0,1,2,1,0,0,1,0,2,2,2,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,1,0,3,1,0,0,0,2,1,0,1,0,0,0,44,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1,1,0,1
DEAF (66),1,0,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,2,0,0,0,1,1,0,1,1,1,2,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,54,1,0,0,2,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
HARD OF HEARING (67),1,0,0,0,0,0,1,0,0,0,0,1,0,3,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,5,1,1,1,0,0,2,1,0,0,0,0,0,1,48,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0
WEELCHAIR PERSON (68),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,1,0,1,0,2,0,0,0,0,0,3,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,6,0,1,2,0,0,1,0,0,0
BLIND (69),0,3,2,0,0,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,2,0,2,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,1,0,0,47,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1
DEAF BLIND (70),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,2,0,3,0,2,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,2,0,1,0,2,0,0,1,0,1,0,0,1,0,0,5,0,0,2,33,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,1,1,0,0,0,0,0,1,3,1,3,0,0,1,0,0,0,0,0
MARRIED (71),0,0,0,0,1,0,0,0,1,0,0,0,0,3,2,0,0,0,2,2,1,2,0,1,0,0,1,1,0,0,2,0,1,1,1,0,0,2,1,0,0,2,0,0,0,2,0,0,1,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,3,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,3
BLUE (72),1,0,0,0,0,1,0,0,1,1,0,0,0,0,2,2,0,1,0,0,2,0,0,1,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,41,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
GREEN (73),0,0,1,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,37,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,2,0,0,2,1,1,0,0,1,1,0
RED (74),1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,2,1,1,0,0,4,1,0,2,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
BROWN (75),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,3,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,2,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,2,2
BLACK (76),0,0,1,0,2,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,2,0,0,1,2,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,6,0,0,1,0,1,1,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,33,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
WHITE (77),0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,2,0,0,0,1,0,1,43,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,2,1,0,0,2,1,0
YELLOW (78),0,2,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,2,0,1,0,0,1,0,0,0,0,0,2,36,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,1
ORANGE (79),0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,1,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,35,0,2,0,0,0,1,0,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,1,1
GRAY (80),1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,1,36,0,0,1,0,1,1,0,0,0,0,0,2,0,0,1,0,2,2,0,0,1,0,2,1
PINK (81),0,0,1,1,1,0,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,1,0,1,1,0,1,0,3,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,2,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,31,0,0,0,0,0,1,0,0,0,1,2,0,1,0,1,0,1,1,0,0,0,0,2
VIOLET (82),0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,2,0,1,0,3,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,3,0,0,0,1,0,2,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0
LIGHT (83),1,1,0,0,0,0,0,2,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
DARK (84),0,1,2,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,40,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
BREAD (85),0,0,1,1,2,0,1,0,1,0,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,46,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,1,1,1,0
EGG (86),0,1,0,2,1,0,0,0,1,2,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,2,1,0,1,0,0,1,2,0,1,2,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,2,41,1,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0
FISH (87),0,0,0,0,0,1,0,0,1,1,1,1,0,2,2,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,4,0,0,0,1,0,1,0,2,0,1,0,0,0,47,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,0
MEAT (88),0,0,0,1,1,0,0,0,0,0,2,1,1,2,2,0,0,0,0,0,1,1,2,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,2,1,1,0,0,1,0,1,0,0,1,0,4,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,46,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
CHICKEN (89),0,1,0,1,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,2,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1,2,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,50,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
SPAGHETTI (90),0,0,0,0,2,0,0,1,2,0,0,1,0,1,0,0,1,0,0,1,2,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,2,0,1,1,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,9,0,0,1,1,0,1,2,0,0,0,0,0,1,0,0,38,0,0,3,0,0,0,0,0,0,0,1,0,0,0
RICE (91),0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,2,1,1,0,3,0,0,0,0,0,0,0,0,0,49,0,0,0,1,0,0,0,1,0,0,0,0,0
LONGANISA (92),1,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,2,0,0,0,4,0,6,0,0,3,1,0,1,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,37,0,0,2,1,0,0,0,0,1,0,0,0
SHRIMP (93),0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,2,1,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,50,0,1,0,0,0,0,0,0,0,2,2
CRAB (94),1,1,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,0,1,1,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0,1,0,43,2,0,0,1,1,1,1,0,0,0
HOT (95),1,0,0,0,0,1,1,2,0,1,0,0,0,0,2,1,1,1,0,0,0,1,2,1,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,52,0,1,0,0,0,1,1,1,2
COLD (96),3,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,2,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,2,2,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,50,1,0,0,0,0,0,0,1
JUICE (97),0,0,0,1,0,0,0,0,1,1,0,1,2,2,1,1,0,0,0,0,2,1,3,1,3,2,0,0,1,1,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,2,1,0,1,0,44,1,0,0,1,0,0,0
MILK (98),2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,1,0,0,1,0,1,3,2,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,1,1,0,2,1,1,2,1,0,0,0,0,2,0,0,1,1,1,0,0,1,0,1,0,0,0,3,1,0,0,0,1,0,0,3,0,1,45,0,0,0,0,0,0
COFFEE (99),1,1,0,0,1,0,3,1,0,0,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,3,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,2,0,1,0,0,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,49,1,0,0,1,0
TEA (100),1,1,0,1,0,0,1,1,0,0,0,1,0,0,2,0,0,1,0,0,2,2,1,0,2,0,1,0,1,2,1,0,0,1,1,1,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,3,0,2,0,0,0,1,1,0,1,2,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,43,0,0,0,0
BEER (101),0,0,2,1,0,1,0,1,0,0,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,2,0,0,1,1,1,0,1,0,1,0,2,0,1,1,0,4,1,0,2,0,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0,1,0,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,42,0,1,0
WINE (102),1,0,0,1,0,0,0,0,0,0,1,3,0,0,0,2,1,2,0,1,2,0,0,1,0,0,0,0,1,3,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,2,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,47,0,0
SUGAR (103),1,1,0,0,0,0,2,0,0,2,0,1,0,1,0,3,0,2,0,0,0,0,1,0,1,0,0,1,1,2,0,0,0,1,2,1,0,1,0,0,0,1,1,2,0,0,1,1,0,1,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,45,3
NO SUGAR (104),0,1,0,1,1,1,0,0,0,0,0,2,1,1,2,0,0,1,1,0,0,1,2,0,0,1,0,1,0,1,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54
